"Term","CRN","Subject","Number","Section","Title","Campus","Enrollment","Capacity","Credit Hours","Delivery","Estimated Fees","Business Surcharge","Meeting Days","Meeting Times","Meeting Locations","Meeting Dates","Instructors","Description","Cross-List Sections","Course Level","Special Approval","Grade Mode","Additional Notes","Attribute Description"
"202620","16007","CHM","430K","  A","Intro Bio Magnetic Resonance","Oxford","3","15","2","Face-to-Face","None","None","MW","8:30am-9:25am","HUG 158","01/26-05/08","Lorigan, Gary","None","None","Undergraduate","None","Standard Letter","None","None"
"202620","16005","CHM","430N","  A","IntCryoEM of Protein Complexes","Oxford","13","15","2","Face-to-Face","None","None","MW|W","10:05am-11:00am|10:15am-12:15pm","HUG 161|HUG 161","01/26-05/08|05/13-05/13","Kennedy, Michael","None","None","Undergraduate","None","Standard Letter","None","None"
"202620","10967","CHM","432","  A","Fundamentals of Biochemistry","Oxford","66","120","4","Face-to-Face","None","None","MWF|W","10:05am-11:25am|10:15am-12:15pm","HUG 141|HUG 141","01/26-05/08|05/13-05/13","Kravats, Andrea","432/532 Fundamentals of Biochemistry (4)

Principles of biochemistry with emphasis on structure of biological molecules and metabolic processes. Prerequisite: CHM 242 or equivalent.","CHM 432 (10967); CHM 532 (10968)","Undergraduate","None","Standard Letter","None","None"
"202620","10659","CHM","438","  A","Biochemistry Laboratory","Oxford","13","16","2","Face-to-Face","$30.00 - $31.50","None","M|W","4:25pm-5:20pm|1:15pm-5:15pm","HUG 158|HUG 375","01/26-05/08|01/26-05/08","Smith, Carole; Alumasa, John","438 Biochemistry Laboratory (2) 

Laboratory course utilizing modern biochemical techniques. Emphasis on logic, design, and execution of biochemical experimentation. Prerequisite: CHM 432 with a grade of C- or higher or permission of instructor.","None","Undergraduate","None","Standard Letter","None","None"
"202620","10806","CHM","438","  B","Biochemistry Laboratory","Oxford","8","16","2","Face-to-Face","$30.00 - $31.50","None","M|R","4:25pm-5:20pm|1:15pm-5:15pm","HUG 158|HUG 375","01/26-05/08|01/26-05/08","Alumasa, John; Smith, Carole","438 Biochemistry Laboratory (2) 

Laboratory course utilizing modern biochemical techniques. Emphasis on logic, design, and execution of biochemical experimentation. Prerequisite: CHM 432 with a grade of C- or higher or permission of instructor.","None","Undergraduate","None","Standard Letter","None","None"
"202620","13177","CHM","450D","  A","Intro Medicinal Chemistry","Oxford","18","30","2","Face-to-Face","None","None","TR|T","4:25pm-5:20pm|3:00pm-5:00pm","HUG 141|HUG 141","01/26-05/08|05/12-05/12","Mancini, Rock","None","None","Undergraduate","None","Standard Letter","Students who have taken CHM 242 or CHM 252, and have completed or are enrolled in Biochemistry, are welcome to the class.  Please fill out an ROR  so we can process your registration.","None"
"202620","12757","CHM","456","  A","Chemical Measurements II","Oxford","10","15","2","Face-to-Face","$30.00","None","R|R","1:00pm-4:10pm|1:00pm-4:30pm","HUG 141|HUG 379","01/26-05/08|01/26-05/08","Rusinek, Cory","456 Chemical Measurements II (2) 

Laboratory course emphasizing instrumental methods of chemical analysis and methods of measuring physical-chemical properties. CAS-D/LAB. Recommended prerequisite: CHM 454. Prerequisite: CHM 452 or CHM 454.","None","Undergraduate","None","Standard Letter","Students who are currently enrolled in CHM 472 are welcome to the class.  Please fill out an ROR so we can process your registration.","None"
"202620","16139","CHM","460C","  A","Separation Science","Oxford","2","15","2","Face-to-Face","None","None","MW|M","2:50pm-3:45pm|3:00pm-5:00pm","HUG 158|HUG 158","01/26-05/08|05/11-05/11","Danielson, Neil","None","None","Undergraduate","None","Standard Letter","None","None"
"202620","16017","CHM","460P","  A","Int.Magnetism & Magnetic Mtls.","Oxford","7","15","2","Face-to-Face","None","None","MW|W","10:05am-11:00am|10:15am-12:15pm","HUG 004|HUG 004","01/26-05/08|05/13-05/13","Tierney, David","None","None","Undergraduate","None","Standard Letter","None","None"
"202620","10063","CHM","472","  A","Biophysical Chemistry II","Oxford","50","120","3","Face-to-Face","None","None","MWF|W","11:40am-12:35pm|12:45pm-2:45pm","HUG 161|HUG 161","01/26-05/08|05/13-05/13","Tierney, David","472/572 Biophysical Chemistry II (3)

Fundamentals of physical biochemistry including thermodynamics, macromolecular structure, kinetics, enzyme kinetics, quantum chemistry, and biophysical spectroscopy. Note: Credit may not be received for both CHM 452 and CHM 472. Prerequisite: MTH 251 or equivalent and CHM 451 or CHM 471.","CHM 472 (10063); CHM 572 (10066)","Undergraduate","None","Standard Letter","None","None"
"202620","10064","CHM","491","  A","Chemistry In Societal Issues","Oxford","25","60","3","Face-to-Face","None","None","W","6:30pm-9:10pm","HUG 161","01/26-05/08","Danielson, Neil","491 Chemistry in Societal Issues (3)

Chemistry is involved in many of the societal issues facing this nation. In order to protect the environment, create new energy sources, improve health, and increase consumer product safety, understanding chemistry is critical to the problem-solving process. It is important for students in technical fields to understand the interface between the known chemistry and government regulations, public perception, and legal interpretations. Students critically evaluate and form positions on current issues of national interest. SC. Prerequisite: any 300-level chemistry course.","None","Undergraduate","None","Standard Letter","None","Senior Capstone (SC)"
"202620","10065","CHM","492","  A","Ind Research Cap In Chemistry","Oxford","23","25","3","Face-to-Face","None","None","W","4:25pm-5:50pm","HUG 161","01/26-05/08","Kennedy, Michael","492 Independent Research Capstone in Chemistry (3)

Students work intensively with instructor to identify a suitable research question; perform research necessary to resolve the question; write a detailed report of the research, results, and the broader scientific and social implications of the overall research project; and communicate the research results to other students and professionals by participation in departmental research presentations and/or participation in a recognized professional meeting. SC. Prerequisite: permission of instructor and department chair, and one semester of CHM 377, 477, 480, or 490 Independent Study.","None","Undergraduate","None","Standard Letter","None","Senior Capstone (SC)"
"202620","16142","CHM","529","  A","Polymer Chemistry","Oxford","13","15","2","Face-to-Face","None","None","TR","10:05am-11:00am","HUG 142","01/26-05/08","Konkolewicz, Dominik","429/529 Polymer Chemistry (2) 

Comprehensive overview and examination of the methods used to synthesize and characterize macromolecules. Both descriptive and mechanistic organic chemistry, as it relates to polymer synthesis, is discussed. The relationship between molecular structure and material properties will be another focus of the course. Prerequisite: CHM 242 or CHM 252 or Graduate Standing.","CHM 429 (16141); CHM 529 (16142)","Graduate","None","Standard Letter","None","None"
"202620","10968","CHM","532","  A","Fundamentals of Biochemistry","Oxford","7","15","4","Face-to-Face","None","None","MWF|W","10:05am-11:25am|10:15am-12:15pm","HUG 141|HUG 141","01/26-05/08|05/13-05/13","Kravats, Andrea","432/532 Fundamentals of Biochemistry (4)

Principles of biochemistry with emphasis on structure of biological molecules and metabolic processes. Prerequisite: CHM 242 or equivalent.","CHM 432 (10967); CHM 532 (10968)","Graduate","None","Standard Letter","None","None"
